Time,NodeId,X,Y,Z
1.2,0,-7.35524,4.50879e-13,7363.42
1.2,1,-4342.04,3.6449e-13,5950.05
1.2,2,111.314,0,-6355.8
1.2,3,78.711,78.711,-6355.8
1.2,1000,-111.314,-0.00809497,-6355.79
1.3,0,-7.35524,4.50879e-13,7363.42
1.3,1,-4342.04,3.6449e-13,5950.05
1.3,2,111.314,0,-6355.8
1.3,3,78.711,78.711,-6355.8
1.3,1000,-111.314,-0.00809497,-6355.79
1.4,0,-7.35524,4.50879e-13,7363.42
1.4,1,-4342.04,3.6449e-13,5950.05
1.4,2,111.314,0,-6355.8
1.4,3,78.711,78.711,-6355.8
1.4,1000,-111.314,-0.00809497,-6355.79
1.5,0,-7.35524,4.50879e-13,7363.42
1.5,1,-4342.04,3.6449e-13,5950.05
1.5,2,111.314,0,-6355.8
1.5,3,78.711,78.711,-6355.8
1.5,1000,-111.314,-0.00809497,-6355.79
1.6,0,-7.35524,4.50879e-13,7363.42
1.6,1,-4342.04,3.6449e-13,5950.05
1.6,2,111.314,0,-6355.8
1.6,3,78.711,78.711,-6355.8
1.6,1000,-111.314,-0.00809497,-6355.79
1.7,0,-7.35524,4.50879e-13,7363.42
1.7,1,-4342.04,3.6449e-13,5950.05
1.7,2,111.314,0,-6355.8
1.7,3,78.711,78.711,-6355.8
1.7,1000,-111.314,-0.00809497,-6355.79
1.8,0,-7.35524,4.50879e-13,7363.42
1.8,1,-4342.04,3.6449e-13,5950.05
1.8,2,111.314,0,-6355.8
1.8,3,78.711,78.711,-6355.8
1.8,1000,-111.314,-0.00809497,-6355.79
1.9,0,-7.35524,4.50879e-13,7363.42
1.9,1,-4342.04,3.6449e-13,5950.05
1.9,2,111.314,0,-6355.8
1.9,3,78.711,78.711,-6355.8
1.9,1000,-111.314,-0.00809497,-6355.79
2,0,-7.35524,4.50879e-13,7363.42
2,1,-4342.04,3.6449e-13,5950.05
2,2,111.314,0,-6355.8
2,3,78.711,78.711,-6355.8
2,1000,-111.314,-0.00809497,-6355.79
2.1,0,-14.7105,4.50879e-13,7363.41
2.1,1,-4347.98,3.64225e-13,5945.72
2.1,2,111.314,0,-6355.8
2.1,3,78.711,78.711,-6355.8
2.1,1000,-111.314,-0.0161899,-6355.79
2.2,0,-14.7105,4.50879e-13,7363.41
2.2,1,-4347.98,3.64225e-13,5945.72
2.2,2,111.314,0,-6355.8
2.2,3,78.711,78.711,-6355.8
2.2,1000,-111.314,-0.0161899,-6355.79
2.3,0,-14.7105,4.50879e-13,7363.41
2.3,1,-4347.98,3.64225e-13,5945.72
2.3,2,111.314,0,-6355.8
2.3,3,78.711,78.711,-6355.8
2.3,1000,-111.314,-0.0161899,-6355.79
2.4,0,-14.7105,4.50879e-13,7363.41
2.4,1,-4347.98,3.64225e-13,5945.72
2.4,2,111.314,0,-6355.8
2.4,3,78.711,78.711,-6355.8
2.4,1000,-111.314,-0.0161899,-6355.79
2.5,0,-14.7105,4.50879e-13,7363.41
2.5,1,-4347.98,3.64225e-13,5945.72
2.5,2,111.314,0,-6355.8
2.5,3,78.711,78.711,-6355.8
2.5,1000,-111.314,-0.0161899,-6355.79
2.6,0,-14.7105,4.50879e-13,7363.41
2.6,1,-4347.98,3.64225e-13,5945.72
2.6,2,111.314,0,-6355.8
2.6,3,78.711,78.711,-6355.8
2.6,1000,-111.314,-0.0161899,-6355.79
2.7,0,-14.7105,4.50879e-13,7363.41
2.7,1,-4347.98,3.64225e-13,5945.72
2.7,2,111.314,0,-6355.8
2.7,3,78.711,78.711,-6355.8
2.7,1000,-111.314,-0.0161899,-6355.79
2.8,0,-14.7105,4.50879e-13,7363.41
2.8,1,-4347.98,3.64225e-13,5945.72
2.8,2,111.314,0,-6355.8
2.8,3,78.711,78.711,-6355.8
2.8,1000,-111.314,-0.0161899,-6355.79
2.9,0,-14.7105,4.50879e-13,7363.41
2.9,1,-4347.98,3.64225e-13,5945.72
2.9,2,111.314,0,-6355.8
2.9,3,78.711,78.711,-6355.8
2.9,1000,-111.314,-0.0161899,-6355.79
3,0,-14.7105,4.50879e-13,7363.41
3,1,-4347.98,3.64225e-13,5945.72
3,2,111.314,0,-6355.8
3,3,78.711,78.711,-6355.8
3,1000,-111.314,-0.0161899,-6355.79
3.1,0,-22.0657,4.50878e-13,7363.39
3.1,1,-4353.92,3.6396e-13,5941.38
3.1,2,111.314,0,-6355.8
3.1,3,78.711,78.711,-6355.8
3.1,1000,-111.314,-0.0242849,-6355.79
3.2,0,-22.0657,4.50878e-13,7363.39
3.2,1,-4353.92,3.6396e-13,5941.38
3.2,2,111.314,0,-6355.8
3.2,3,78.711,78.711,-6355.8
3.2,1000,-111.314,-0.0242849,-6355.79
